Order Date,Region,Category,Sub-Category,Quantity,Unit Price,Discount,Sales,Profit,Year,Month
2020-06-02,South,Furniture,Chairs,6,0.81,0.1,4.86,-4.62,2020,2020-06
2020-11-09,South,Office Supplies,Pens,5,50.69,0.05,253.45,48.62,2020,2020-11
2020-11-01,South,Office Supplies,Paper,4,199.45,0.0,797.8,44.56,2020,2020-11
2020-07-30,Central,Office Supplies,Paper,4,28.09,0.2,112.36,6.62,2020,2020-07
2018-09-25,Central,Furniture,Tables,5,108.62,0.0,488.79,93.82,2018,2018-09
2018-09-20,South,Office Supplies,Binders,6,132.94,0.05,797.64,63.25,2018,2018-09
2019-08-31,West,Office Supplies,Pens,2,65.66,0.0,105.06,-0.61,2019,2019-08
2020-07-06,East,Office Supplies,Pens,9,147.08,0.0,1323.72,182.69,2020,2020-07
2020-10-14,East,Office Supplies,Binders,6,143.9,0.0,777.06,175.52,2020,2020-10
2018-12-11,South,Technology,Accessories,8,353.51,0.0,2828.08,401.15,2018,2018-12
2020-12-05,South,Furniture,Bookcases,4,218.73,0.05,874.92,40.86,2020,2020-12
2018-10-11,South,Office Supplies,Binders,5,128.45,0.0,642.25,68.43,2018,2018-10
2017-11-14,West,Technology,Accessories,9,470.71,0.0,4236.39,970.54,2017,2017-11
2020-06-02,West,Technology,Computers,9,382.58,0.0,3271.06,406.74,2020,2020-06
2020-06-11,South,Office Supplies,Pens,1,45.23,0.0,45.23,5.51,2020,2020-06
2018-11-15,Central,Office Supplies,Paper,4,163.25,0.0,653.0,142.33,2018,2018-11
2018-10-26,East,Office Supplies,Paper,2,13.16,0.0,26.32,-4.9,2018,2018-10
2020-10-29,South,Office Supplies,Pens,7,156.67,0.0,987.02,236.19,2020,2020-10
2020-06-10,Central,Technology,Accessories,2,432.72,0.0,865.44,90.66,2020,2020-06
2020-02-11,Central,Furniture,Tables,3,6.04,0.1,18.12,-7.61,2020,2020-02
2018-03-18,West,Office Supplies,Binders,8,184.68,0.0,1477.44,210.77,2018,2018-03
2018-07-18,South,Office Supplies,Paper,5,61.57,0.0,292.46,14.62,2018,2018-07
2020-07-15,East,Office Supplies,Paper,8,41.48,0.0,331.84,21.88,2020,2020-07
2020-11-10,South,Office Supplies,Binders,4,18.14,0.05,68.93,5.14,2020,2020-11
2020-11-11,West,Technology,Phones,3,363.18,0.0,980.59,197.24,2020,2020-11
2020-02-11,West,Technology,Accessories,8,309.16,0.05,2349.62,144.35,2020,2020-02
2019-08-10,South,Office Supplies,Binders,9,162.02,0.05,1458.18,168.4,2019,2019-08
2020-01-10,West,Technology,Accessories,1,288.37,0.1,273.95,23.13,2020,2020-01
2018-11-30,Central,Technology,Computers,7,465.29,0.0,3094.18,600.83,2018,2018-11
2017-04-23,West,Office Supplies,Paper,9,94.06,0.1,846.54,99.15,2017,2017-04
2017-01-02,West,Technology,Computers,7,249.56,0.0,1746.92,259.37,2017,2017-01
2018-10-04,Central,Technology,Computers,1,439.45,0.0,351.56,38.35,2018,2018-10
2017-08-08,West,Technology,Phones,8,400.57,0.2,3044.33,677.45,2017,2017-08
2019-05-05,Central,Technology,Computers,9,347.17,0.0,3124.53,339.81,2019,2019-05
2020-06-02,West,Technology,Phones,8,454.69,0.05,3637.52,777.76,2020,2020-06
2018-01-20,West,Office Supplies,Paper,5,9.28,0.1,46.4,5.6,2018,2018-01
2020-11-27,West,Office Supplies,Binders,6,41.72,0.0,250.32,24.21,2020,2020-11
2020-02-28,South,Office Supplies,Pens,4,2.24,0.05,7.17,-8.52,2020,2020-02
2019-12-13,Central,Office Supplies,Pens,6,133.96,0.0,723.38,32.83,2019,2019-12
2018-12-31,East,Office Supplies,Binders,5,86.55,0.05,346.2,50.77,2018,2018-12
2020-12-10,West,Office Supplies,Pens,7,33.72,0.05,236.04,19.48,2020,2020-12
2017-09-04,South,Office Supplies,Pens,6,46.98,0.05,281.88,28.36,2017,2017-09
2019-04-16,West,Furniture,Chairs,2,27.61,0.0,55.22,2.74,2019,2019-04
2017-07-22,West,Office Supplies,Binders,4,216.4,0.05,779.04,50.45,2017,2017-07
2020-04-22,Central,Office Supplies,Pens,5,131.26,0.0,623.48,115.98,2020,2020-04
2017-05-03,West,Furniture,Bookcases,4,6.12,0.1,22.03,2.07,2017,2017-05
2018-02-05,Central,Office Supplies,Binders,6,30.85,0.0,175.85,30.96,2018,2018-02
2019-02-06,South,Office Supplies,Paper,3,88.73,0.05,266.19,45.96,2019,2019-02
2017-10-21,Central,Technology,Phones,7,423.54,0.0,2816.54,138.57,2017,2017-10
2017-10-07,Central,Office Supplies,Pens,2,81.25,0.0,162.5,13.04,2017,2017-10
2019-06-03,East,Furniture,Chairs,7,132.63,0.05,835.57,197.65,2019,2019-06
2017-07-17,West,Office Supplies,Binders,7,136.2,0.05,905.73,129.74,2017,2017-07
2019-09-09,East,Office Supplies,Paper,9,168.27,0.05,1362.99,297.54,2019,2019-09
2019-01-22,East,Furniture,Bookcases,6,68.89,0.1,413.34,47.25,2019,2019-01
2017-05-24,South,Office Supplies,Binders,6,137.25,0.0,823.5,128.39,2017,2017-05
2018-09-01,West,Furniture,Tables,7,207.43,0.0,1379.41,72.14,2018,2018-09
2020-05-09,West,Office Supplies,Paper,1,143.42,0.0,129.08,17.47,2020,2020-05
2020-02-22,Central,Office Supplies,Pens,7,16.89,0.1,118.23,18.47,2020,2020-02
2017-07-06,East,Technology,Computers,7,389.96,0.0,2729.72,402.53,2017,2017-07
2020-09-11,West,Office Supplies,Paper,6,126.23,0.0,757.38,109.08,2020,2020-09
2018-04-09,West,Technology,Computers,7,210.88,0.05,1476.16,151.18,2018,2018-04
2020-10-04,Central,Office Supplies,Binders,7,15.59,0.05,109.13,21.62,2020,2020-10
2018-10-22,East,Technology,Accessories,6,235.09,0.0,1410.54,267.15,2018,2018-10
2019-02-03,Central,Office Supplies,Pens,2,144.08,0.0,288.16,44.43,2019,2019-02
2019-08-13,South,Office Supplies,Pens,6,181.71,0.05,1090.26,138.05,2019,2019-08
2018-02-07,West,Office Supplies,Binders,2,267.08,0.05,534.16,85.11,2018,2018-02
2020-10-01,Central,Furniture,Bookcases,1,160.61,0.0,160.61,39.52,2020,2020-10
2017-05-27,South,Office Supplies,Paper,7,99.4,0.0,661.01,158.83,2017,2017-05
2020-03-17,South,Technology,Phones,3,562.29,0.05,1602.53,161.3,2020,2020-03
2019-05-14,West,Furniture,Bookcases,9,176.68,0.0,1431.11,119.78,2019,2019-05
2018-05-04,South,Furniture,Bookcases,3,36.0,0.0,108.0,12.76,2018,2018-05
2019-07-18,East,Office Supplies,Binders,9,94.92,0.2,811.57,178.21,2019,2019-07
2018-07-05,West,Furniture,Bookcases,6,50.12,0.05,300.72,26.12,2018,2018-07
2017-12-04,East,Office Supplies,Pens,2,149.58,0.1,284.2,31.72,2017,2017-12
2019-05-22,Central,Technology,Computers,9,267.16,0.1,2404.44,365.8,2019,2019-05
2018-10-03,South,Furniture,Bookcases,5,245.57,0.0,1227.85,226.54,2018,2018-10
2018-04-18,West,Office Supplies,Binders,1,151.14,0.0,151.14,25.96,2018,2018-04
2017-05-31,Central,Furniture,Chairs,6,17.3,0.0,103.8,17.41,2017,2017-05
2020-12-09,East,Office Supplies,Binders,1,16.78,0.05,16.78,-2.65,2020,2020-12
2020-08-14,West,Office Supplies,Binders,3,119.23,0.0,321.92,57.07,2020,2020-08
2017-09-20,East,Technology,Phones,4,449.12,0.05,1796.48,438.12,2017,2017-09
2017-05-24,West,Office Supplies,Paper,6,142.27,0.1,853.62,182.78,2017,2017-05
2017-12-12,East,Furniture,Chairs,6,8.63,0.2,51.78,0.21,2017,2017-12
2018-09-16,Central,Technology,Accessories,1,374.19,0.2,374.19,13.74,2018,2018-09
2019-10-14,South,Office Supplies,Pens,3,92.21,0.1,276.63,5.07,2019,2019-10
2019-05-31,South,Office Supplies,Binders,5,59.7,0.1,298.5,10.78,2019,2019-05
2017-01-02,South,Technology,Computers,3,389.75,0.05,1169.25,149.8,2017,2017-01
2019-06-16,East,Technology,Accessories,9,452.78,0.1,4075.02,680.19,2019,2019-06
2020-08-20,South,Office Supplies,Paper,5,189.48,0.1,900.03,141.77,2020,2020-08
2017-09-11,South,Technology,Computers,6,443.95,0.05,2663.7,634.86,2017,2017-09
2018-03-29,South,Office Supplies,Pens,9,4.93,0.0,44.37,7.86,2018,2018-03
2019-11-27,East,Technology,Accessories,1,469.41,0.05,422.47,30.46,2019,2019-11
2020-03-29,South,Furniture,Tables,8,21.58,0.1,172.64,13.94,2020,2020-03
2019-10-12,East,Furniture,Chairs,8,344.96,0.0,2759.68,465.88,2019,2019-10
2017-01-09,Central,Office Supplies,Pens,7,135.34,0.0,900.01,102.58,2017,2017-01
2020-06-10,South,Technology,Computers,4,400.12,0.2,1600.48,291.28,2020,2020-06
2020-01-28,West,Furniture,Tables,4,34.39,0.1,137.56,20.29,2020,2020-01
2019-03-27,East,Office Supplies,Pens,2,54.86,0.0,109.72,-0.82,2019,2019-03
2017-07-27,Central,Office Supplies,Binders,4,198.56,0.05,635.39,42.87,2017,2017-07
2020-02-29,East,Office Supplies,Paper,8,102.99,0.0,823.92,83.46,2020,2020-02
2018-02-08,East,Office Supplies,Paper,6,115.94,0.0,695.64,162.06,2018,2018-02
2017-06-01,Central,Technology,Computers,5,422.94,0.0,2114.7,430.86,2017,2017-06
2017-02-23,South,Office Supplies,Binders,1,125.04,0.0,125.04,24.14,2017,2017-02
2020-02-18,West,Furniture,Bookcases,2,96.99,0.0,184.28,27.85,2020,2020-02
2018-09-20,South,Office Supplies,Pens,1,101.32,0.1,101.32,13.36,2018,2018-09
2018-08-10,Central,Office Supplies,Pens,2,71.84,0.05,143.68,17.26,2018,2018-08
2020-12-14,West,Office Supplies,Paper,1,103.43,0.05,98.26,9.99,2020,2020-12
2020-12-16,Central,Office Supplies,Pens,9,207.57,0.0,1774.72,177.91,2020,2020-12
2017-04-14,South,Office Supplies,Binders,3,135.36,0.0,406.08,85.6,2017,2017-04
2017-09-11,Central,Office Supplies,Binders,3,65.57,0.05,177.04,40.51,2017,2017-09
2020-06-04,East,Furniture,Bookcases,4,11.82,0.0,47.28,0.63,2020,2020-06
2020-02-10,South,Technology,Phones,2,454.51,0.0,909.02,113.91,2020,2020-02
2018-05-25,West,Furniture,Tables,1,20.02,0.0,18.02,-5.69,2018,2018-05
2017-04-09,West,Technology,Computers,1,337.32,0.0,320.45,51.04,2017,2017-04
2017-06-02,East,Office Supplies,Paper,7,86.13,0.0,572.76,73.13,2017,2017-06
2019-07-03,West,Office Supplies,Pens,8,148.58,0.05,1188.64,213.72,2019,2019-07
2019-05-28,West,Office Supplies,Binders,9,195.97,0.0,1763.73,92.0,2019,2019-05
2017-12-04,West,Office Supplies,Paper,9,82.51,0.05,705.46,69.93,2017,2017-12
2019-04-02,East,Furniture,Chairs,3,57.17,0.1,162.93,15.87,2019,2019-04
2020-04-01,East,Technology,Accessories,2,428.68,0.0,857.36,161.37,2020,2020-04
2019-08-15,South,Technology,Computers,8,440.43,0.0,3523.44,597.06,2019,2019-08
2017-06-10,South,Office Supplies,Binders,5,115.67,0.1,520.52,97.97,2017,2017-06
2019-03-12,Central,Office Supplies,Paper,1,170.08,0.0,136.06,5.29,2019,2019-03
2018-02-02,East,Office Supplies,Paper,2,217.81,0.1,348.5,50.13,2018,2018-02
2020-07-24,South,Office Supplies,Paper,8,12.37,0.0,79.17,6.03,2020,2020-07
2019-03-27,East,Office Supplies,Binders,9,123.87,0.0,1059.09,207.64,2019,2019-03
2020-11-16,East,Office Supplies,Pens,1,24.09,0.0,24.09,-4.53,2020,2020-11
2020-03-04,East,Office Supplies,Paper,9,239.79,0.0,2050.2,488.04,2020,2020-03
2020-05-03,West,Technology,Accessories,1,427.86,0.0,385.07,19.81,2020,2020-05
2018-02-05,East,Office Supplies,Paper,5,41.4,0.0,207.0,2.22,2018,2018-02
2018-10-02,Central,Furniture,Bookcases,3,252.75,0.1,682.42,88.65,2018,2018-10
2019-11-23,West,Office Supplies,Pens,5,164.79,0.0,823.95,53.67,2019,2019-11
